Source,Indicator,Sector,Units,Scenario,ScenarioGeography,Technology,Sub_Technology,2018,2019,2025,2030,2040,SourceSheet
WEO2020,Production,Fossil Fuels,mb/d,SPS,OPEC production,Oil,NA,36.8601,34.9397,34.4264,36.5429,39.5228,Fossil fuel production
WEO2020,Production,Fossil Fuels,mb/d,SPS,World,Oil,NA,95.5185,95.4431,97.4799,100.636,101.303,Fossil fuel production
WEO2020,Production,Fossil Fuels,mb/d,SDS,North America,Oil,NA,23.029,24.6912,25.8234,24.0526,19.8905,Fossil fuel production
WEO2020,Production,Fossil Fuels,mb/d,SDS,Central and South America,Oil,NA,6.6407,6.3218,6.76636,6.22112,4.54994,Fossil fuel production
WEO2020,Production,Fossil Fuels,mb/d,SDS,Europe,Oil,NA,3.6782,3.5418,3.52595,2.71899,1.41946,Fossil fuel production
WEO2020,Production,Fossil Fuels,mb/d,SDS,European Union,Oil,NA,0.5457,0.4925,0.37092,0.29875,0.12997,Fossil fuel production
WEO2020,Production,Fossil Fuels,mb/d,SDS,Africa,Oil,NA,8.2889,8.4316,6.36757,5.78983,4.1725,Fossil fuel production
WEO2020,Production,Fossil Fuels,mb/d,SDS,Middle East,Oil,NA,31.6941,30.1801,28.8555,28.8371,22.8522,Fossil fuel production
WEO2020,Production,Fossil Fuels,mb/d,SDS,Eurasia,Oil,NA,14.4885,14.5462,12.9562,11.6029,7.97258,Fossil fuel production
WEO2020,Production,Fossil Fuels,mb/d,SDS,Asia Pacific,Oil,NA,7.6991,7.7304,5.92256,5.08786,3.5168,Fossil fuel production
WEO2020,Production,Fossil Fuels,mb/d,SDS,OECD,Oil,NA,26.9211,28.564,29.6763,27.1404,21.6496,Fossil fuel production
WEO2020,Production,Fossil Fuels,mb/d,SDS,Non-OECD,Oil,NA,68.5974,66.8791,60.5412,57.1699,42.7244,Fossil fuel production
WEO2020,Production,Fossil Fuels,mb/d,SDS,Advanced economies,Oil,NA,27.0111,28.6521,29.7421,27.1921,21.676,Fossil fuel production
WEO2020,Production,Fossil Fuels,mb/d,SDS,Emerging market & developing economies,Oil,NA,68.5074,66.791,60.4753,57.1182,42.6979,Fossil fuel production
WEO2020,Production,Fossil Fuels,mb/d,SDS,Non-OPEC production,Oil,NA,58.6584,60.5034,58.1605,52.8501,39.9916,Fossil fuel production
WEO2020,Production,Fossil Fuels,mb/d,SDS,OPEC production,Oil,NA,36.8601,34.9397,32.057,31.4602,24.3824,Fossil fuel production
WEO2020,Production,Fossil Fuels,mb/d,SDS,World,Oil,NA,95.5185,95.4431,90.2175,84.3103,64.3739,Fossil fuel production
WEO2020,Production,Fossil Fuels,mb/d,SPS,World,Oil,Conventional crude oil,66.8409,64.9823,63.8088,63.7996,61.6165,Fossil fuel production
WEO2020,Production,Fossil Fuels,mb/d,SPS,World,Oil,Tight oil,6.3337,7.7132,9.95169,11.6423,12.1231,Fossil fuel production
WEO2020,Production,Fossil Fuels,mb/d,SPS,World,Oil,Natural gas liquids,17.562,18.245,18.7923,19.9829,21.7504,Fossil fuel production
WEO2020,Production,Fossil Fuels,mb/d,SPS,World,Oil,Extra-heavy oil and bitumen,3.9462,3.6678,3.9334,4.04896,4.42013,Fossil fuel production
WEO2020,Production,Fossil Fuels,mb/d,SPS,World,Oil,Other,0.8357,0.8348,0.99371,1.16224,1.39287,Fossil fuel production
WEO2020,Production,Fossil Fuels,mb/d,SDS,World,Oil,Conventional crude oil,66.8409,64.9823,59.6179,54.3431,37.1158,Fossil fuel production
WEO2020,Production,Fossil Fuels,mb/d,SDS,World,Oil,Tight oil,6.3337,7.7132,9.29292,9.37823,8.811,Fossil fuel production
WEO2020,Production,Fossil Fuels,mb/d,SDS,World,Oil,Natural gas liquids,17.562,18.245,16.8419,16.3635,14.8911,Fossil fuel production
WEO2020,Production,Fossil Fuels,mb/d,SDS,World,Oil,Extra-heavy oil and bitumen,3.9462,3.6678,3.56272,3.25746,2.63419,Fossil fuel production
WEO2020,Production,Fossil Fuels,mb/d,SDS,World,Oil,Other,0.8357,0.8348,0.90206,0.96801,0.92181,Fossil fuel production
WEO2020,Production,Fossil Fuels,bcm,SPS,North America,Gas,NA,1080.32,1158.53,1284.32,1299.84,1315.19,Fossil fuel production
WEO2020,Production,Fossil Fuels,bcm,SPS,Central and South America,Gas,NA,175.225,173.531,162.112,183.637,244.116,Fossil fuel production
WEO2020,Production,Fossil Fuels,bcm,SPS,Europe,Gas,NA,276.092,259.801,227.821,208.457,185.426,Fossil fuel production
WEO2020,Production,Fossil Fuels,bcm,SPS,European Union,Gas,NA,78.8277,70.8233,35.6335,29.3947,25.2715,Fossil fuel production
WEO2020,Production,Fossil Fuels,bcm,SPS,Africa,Gas,NA,248.516,249.586,276.917,336.456,456.893,Fossil fuel production
WEO2020,Production,Fossil Fuels,bcm,SPS,Middle East,Gas,NA,637.923,652.68,723.185,791.873,1020.02,Fossil fuel production
WEO2020,Production,Fossil Fuels,bcm,SPS,Eurasia,Gas,NA,942.165,958.569,994.498,1037.99,1143.37,Fossil fuel production
WEO2020,Production,Fossil Fuels,bcm,SPS,Asia Pacific,Gas,NA,596.864,636.003,689.552,754.452,855.887,Fossil fuel production
WEO2020,Production,Fossil Fuels,bcm,SPS,OECD,Gas,NA,1449.89,1537.75,1652.94,1660.62,1667.4,Fossil fuel production
WEO2020,Production,Fossil Fuels,bcm,SPS,Non-OECD,Gas,NA,2507.22,2550.94,2705.47,2952.07,3553.52,Fossil fuel production
WEO2020,Production,Fossil Fuels,bcm,SPS,Advanced economies,Gas,NA,1461.43,1548.88,1662.73,1668.96,1675.17,Fossil fuel production
WEO2020,Production,Fossil Fuels,bcm,SPS,Emerging market & developing economies,Gas,NA,2495.68,2539.81,2695.67,2943.74,3545.74,Fossil fuel production
WEO2020,Production,Fossil Fuels,bcm,SPS,World,Gas,NA,3957.11,4088.7,4358.41,4612.7,5220.91,Fossil fuel production
WEO2020,Production,Fossil Fuels,bcm,SPS,World,Gas,Conventional gas,2968.74,2997.76,3044.92,3161.54,3560.96,Fossil fuel production
WEO2020,Production,Fossil Fuels,bcm,SPS,World,Gas,Tight gas,291.474,284.542,338.694,277.469,251.804,Fossil fuel production
WEO2020,Production,Fossil Fuels,bcm,SPS,World,Gas,Shale gas,612.873,719.321,874.163,1062.91,1260.72,Fossil fuel production
WEO2020,Production,Fossil Fuels,bcm,SPS,World,Gas,Coalbed methane,81.1328,81.9513,80.1582,83.4741,115.933,Fossil fuel production
WEO2020,Production,Fossil Fuels,bcm,SPS,World,Gas,Other,2.8902,5.1257,20.4748,27.3069,31.493,Fossil fuel production
WEO2020,Production,Fossil Fuels,bcm,SDS,North America,Gas,NA,1080.32,1158.53,1245.42,1033.64,729.458,Fossil fuel production
WEO2020,Production,Fossil Fuels,bcm,SDS,Central and South America,Gas,NA,175.225,173.531,142.057,149.586,134.454,Fossil fuel production
WEO2020,Production,Fossil Fuels,bcm,SDS,Europe,Gas,NA,276.092,259.801,224.71,191.83,139.319,Fossil fuel production
WEO2020,Production,Fossil Fuels,bcm,SDS,European Union,Gas,NA,78.8277,70.8233,35.6335,34.0945,22.5693,Fossil fuel production
WEO2020,Production,Fossil Fuels,bcm,SDS,Africa,Gas,NA,248.516,249.586,267.227,308.684,297.581,Fossil fuel production
WEO2020,Production,Fossil Fuels,bcm,SDS,Middle East,Gas,NA,637.923,652.68,645.382,647.42,672.683,Fossil fuel production
WEO2020,Production,Fossil Fuels,bcm,SDS,Eurasia,Gas,NA,942.165,958.569,975.921,949.616,847.859,Fossil fuel production
WEO2020,Production,Fossil Fuels,bcm,SDS,Asia Pacific,Gas,NA,596.864,636.003,666.011,717.434,733.042,Fossil fuel production
WEO2020,Production,Fossil Fuels,bcm,SDS,OECD,Gas,NA,1449.89,1537.75,1602.58,1373.03,1002.79,Fossil fuel production
WEO2020,Production,Fossil Fuels,bcm,SDS,Non-OECD,Gas,NA,2507.22,2550.94,2564.15,2625.18,2551.6,Fossil fuel production
WEO2020,Production,Fossil Fuels,bcm,SDS,Advanced economies,Gas,NA,1461.43,1548.88,1612.91,1383.93,1011.02,Fossil fuel production
WEO2020,Production,Fossil Fuels,bcm,SDS,Emerging market & developing economies,Gas,NA,2495.68,2539.81,2553.82,2614.28,2543.38,Fossil fuel production
WEO2020,Production,Fossil Fuels,bcm,SDS,World,Gas,NA,3957.11,4088.7,4166.43,3998.21,3554.4,Fossil fuel production
WEO2020,Production,Fossil Fuels,bcm,SDS,World,Gas,Conventional gas,2968.74,2997.76,2942.57,2901.57,2661.27,Fossil fuel production
WEO2020,Production,Fossil Fuels,bcm,SDS,World,Gas,Tight gas,291.474,284.542,339.448,289.013,164.097,Fossil fuel production
WEO2020,Production,Fossil Fuels,bcm,SDS,World,Gas,Shale gas,612.873,719.321,800.51,717.392,633.231,Fossil fuel production
WEO2020,Production,Fossil Fuels,bcm,SDS,World,Gas,Coalbed methane,81.1328,81.9513,67.585,73.3643,78.0494,Fossil fuel production
WEO2020,Production,Fossil Fuels,bcm,SDS,World,Gas,Other,2.8902,5.1257,16.417,16.8707,17.7526,Fossil fuel production
WEO2020,Production,Fossil Fuels,Mtce,SPS,North America,Coal,NA,581.221,546.542,331.059,253.326,178.315,Fossil fuel production
WEO2020,Production,Fossil Fuels,Mtce,SPS,Central and South America,Coal,NA,82.7663,81.2602,64.8104,59.4814,39.787,Fossil fuel production
WEO2020,Production,Fossil Fuels,Mtce,SPS,Europe,Coal,NA,244.487,218.755,134.856,95.6143,56.6273,Fossil fuel production
WEO2020,Production,Fossil Fuels,Mtce,SPS,Africa,Coal,NA,224.971,216.719,206.148,188.725,190.034,Fossil fuel production
WEO2020,Production,Fossil Fuels,Mtce,SPS,Middle East,Coal,NA,1.5704,1.6327,1.54378,1.57069,1.6331,Fossil fuel production
WEO2020,Production,Fossil Fuels,Mtce,SPS,Eurasia,Coal,NA,418.008,411.249,374.015,382.43,391.589,Fossil fuel production
WEO2020,Production,Fossil Fuels,Mtce,SPS,Asia Pacific,Coal,NA,4009.37,4148.4,3999.28,4023.34,3876.82,Fossil fuel production
WEO2020,Production,Fossil Fuels,Mtce,SPS,OECD,Coal,NA,1188.91,1147.48,802.454,705.046,631.269,Fossil fuel production
WEO2020,Production,Fossil Fuels,Mtce,SPS,Non-OECD,Coal,NA,4373.49,4477.08,4309.26,4299.44,4103.54,Fossil fuel production
WEO2020,Production,Fossil Fuels,Mtce,SPS,Advanced economies,Coal,NA,1201.88,1159.42,813.101,710.306,634.281,Fossil fuel production
WEO2020,Production,Fossil Fuels,Mtce,SPS,Emerging market & developing economies,Coal,NA,4360.52,4465.14,4298.61,4294.18,4100.53,Fossil fuel production
WEO2020,Production,Fossil Fuels,Mtce,SPS,World,Coal,NA,5562.4,5624.56,5111.71,5004.49,4734.81,Fossil fuel production
WEO2020,Production,Fossil Fuels,Mtce,SPS,World,Coal,Steam coal,4371.23,4427.78,4082.76,4044.03,3873.77,Fossil fuel production
WEO2020,Production,Fossil Fuels,Mtce,SPS,World,Coal,Coking coal,908.557,935.82,810.794,764.34,703.88,Fossil fuel production
WEO2020,Production,Fossil Fuels,Mtce,SPS,World,Coal,Lignite and peat,282.614,260.956,218.16,196.116,157.158,Fossil fuel production
WEO2020,Production,Fossil Fuels,Mtce,SDS,North America,Coal,NA,581.221,546.542,155.414,102.372,65.443,Fossil fuel production
WEO2020,Production,Fossil Fuels,Mtce,SDS,Central and South America,Coal,NA,82.7663,81.2602,46.5587,45.6289,9.16459,Fossil fuel production
WEO2020,Production,Fossil Fuels,Mtce,SDS,Europe,Coal,NA,244.487,218.755,92.7615,53.5853,24.3875,Fossil fuel production
WEO2020,Production,Fossil Fuels,Mtce,SDS,Africa,Coal,NA,224.971,216.719,185.442,148.25,111.286,Fossil fuel production
WEO2020,Production,Fossil Fuels,Mtce,SDS,Middle East,Coal,NA,1.5704,1.6327,1.55457,1.58351,1.08351,Fossil fuel production
WEO2020,Production,Fossil Fuels,Mtce,SDS,Eurasia,Coal,NA,418.008,411.249,312.04,255.077,135.15,Fossil fuel production
WEO2020,Production,Fossil Fuels,Mtce,SDS,Asia Pacific,Coal,NA,4009.37,4148.4,3405.23,2597.97,1503.45,Fossil fuel production
WEO2020,Production,Fossil Fuels,Mtce,SDS,OECD,Coal,NA,1188.91,1147.48,523.715,379.269,266.216,Fossil fuel production
WEO2020,Production,Fossil Fuels,Mtce,SDS,Non-OECD,Coal,NA,4373.49,4477.08,3675.29,2825.2,1583.75,Fossil fuel production
WEO2020,Production,Fossil Fuels,Mtce,SDS,Advanced economies,Coal,NA,1201.88,1159.42,529.302,380.571,266.399,Fossil fuel production
WEO2020,Production,Fossil Fuels,Mtce,SDS,Emerging market & developing economies,Coal,NA,4360.52,4465.14,3669.7,2823.9,1583.57,Fossil fuel production
WEO2020,Production,Fossil Fuels,Mtce,SDS,World,Coal,NA,5562.4,5624.56,4199,3204.47,1849.97,Fossil fuel production
WEO2020,Production,Fossil Fuels,Mtce,SDS,World,Coal,Steam coal,4371.23,4427.78,3305.12,2489.23,1354.06,Fossil fuel production
WEO2020,Production,Fossil Fuels,Mtce,SDS,World,Coal,Coking coal,908.557,935.82,746.122,621.875,438.278,Fossil fuel production
WEO2020,Production,Fossil Fuels,Mtce,SDS,World,Coal,Lignite and peat,282.614,260.956,147.759,93.3637,57.6355,Fossil fuel production
WEO2020,Generation,Power,TWh,SPS,World,Total generation,Total generation,26619,26941.69922,29679.19922,32818.39844,40093.69922,World_El_CO2_Ind
WEO2020,Generation,Power,TWh,SPS,World,Coal,NA,10159.6,9849.3,9418.2,9294.25,8984.47,World_El_CO2_Ind
WEO2020,Generation,Power,TWh,SPS,World,Oil,NA,786.481,784.65,663.447,559.916,463.395,World_El_CO2_Ind
WEO2020,Generation,Power,TWh,SPS,World,Natural gas,NA,6150.2,6316.82,6946.99,7331.27,8386.6,World_El_CO2_Ind
WEO2020,Generation,Power,TWh,SPS,World,Nuclear,NA,2710.43,2788.97,2812.73,3081.24,3439.28,World_El_CO2_Ind
WEO2020,Generation,Power,TWh,SPS,World,Renewables,NA,6777.53,7167.24,9808.55,12522.4,18790.699,World_El_CO2_Ind
WEO2020,Generation,Power,TWh,SPS,World,Renewables,Hydro,4213.93,4304.5,4655.71,5089,5918.62,World_El_CO2_Ind
WEO2020,Generation,Power,TWh,SPS,World,Renewables,Bioenergy,634.556,667.08,894.897,1055.26,1410.32,World_El_CO2_Ind
WEO2020,Generation,Power,TWh,SPS,World,Renewables,Wind,1273.41,1422.84,2394.11,3360.85,5441.46,World_El_CO2_Ind
WEO2020,Generation,Power,TWh,SPS,World,Renewables,Geothermal,88.958,92.075,125.206,189.955,321.252,World_El_CO2_Ind
WEO2020,Generation,Power,TWh,SPS,World,Renewables,Solar PV,554.35,664.642,1715.24,2764.27,5477.83,World_El_CO2_Ind
WEO2020,Generation,Power,TWh,SPS,World,Renewables,CSP,11.321,14.952,21.836,54.164,173.925,World_El_CO2_Ind
WEO2020,Generation,Power,TWh,SPS,World,Renewables,Marine,1.005,1.146,1.546,8.92,47.247,World_El_CO2_Ind
WEO2020,Capacity,Power,GW,SPS,World,Total capacity,Total capacity,7228.16,7484.26,8831.59,10194.5,13418.3,World_El_CO2_Ind
WEO2020,Capacity,Power,GW,SPS,World,Coal,NA,2089.46,2124.02,2079.05,2009,1919.24,World_El_CO2_Ind
WEO2020,Capacity,Power,GW,SPS,World,Oil,NA,443.135,439.501,344.453,290.861,239.24,World_El_CO2_Ind
WEO2020,Capacity,Power,GW,SPS,World,Natural gas,NA,1750.86,1787.53,1998.59,2184.85,2570.85,World_El_CO2_Ind
WEO2020,Capacity,Power,GW,SPS,World,Nuclear,NA,419.828,414.613,417.811,440.047,479.425,World_El_CO2_Ind
WEO2020,Capacity,Power,GW,SPS,World,Renewables,NA,2516.45,2707.13,3943.51,5136.85,7738.37,World_El_CO2_Ind
WEO2020,Capacity,Power,GW,SPS,World,Renewables,Hydro,1293.64,1306.49,1428.33,1548.61,1770.91,World_El_CO2_Ind
WEO2020,Capacity,Power,GW,SPS,World,Renewables,Bioenergy,144.724,153.025,189.727,218.389,277.739,World_El_CO2_Ind
WEO2020,Capacity,Power,GW,SPS,World,Renewables,Wind,562.707,622.833,977.566,1298.94,1913.97,World_El_CO2_Ind
WEO2020,Capacity,Power,GW,SPS,World,Renewables,Geothermal,14.238,15.151,19.538,28.747,47.361,World_El_CO2_Ind
WEO2020,Capacity,Power,GW,SPS,World,Renewables,Solar PV,494.932,602.82,1318.9,2018.77,3654.62,World_El_CO2_Ind
WEO2020,Capacity,Power,GW,SPS,World,Renewables,CSP,5.652,6.242,8.825,19.656,54.547,World_El_CO2_Ind
WEO2020,Capacity,Power,GW,SPS,World,Renewables,Marine,0.559,0.564,0.623,3.737,19.228,World_El_CO2_Ind
WEO2020,CO2 emissions,Power,Mt,SPS,World,Total CO2,Total CO2,33283.32,33291.656,32971.715,33239.001,33273.535,World_El_CO2_Ind
WEO2020,CO2 emissions,Power,Mt,SPS,World,Coal,NA,14765.801,14534.608,13657.346,13284.446,12438.153,World_El_CO2_Ind
WEO2020,CO2 emissions,Power,Mt,SPS,World,Oil,NA,11416.214,11497.398,11477.875,11704.109,11582.078,World_El_CO2_Ind
WEO2020,CO2 emissions,Power,Mt,SPS,World,Natural gas,NA,7101.305,7259.719,7837.367,8251.888,9255.506,World_El_CO2_Ind
WEO2020,CO2 emissions,Power,Mt,SPS,World,Power sector,Power sector,13823.4,13699.1,13011,12781.7,12476.6,World_El_CO2_Ind
WEO2020,CO2 emissions,Power,Mt,SPS,World,Coal,NA,10103.8,9914.45,9237.67,9014.1,8456.11,World_El_CO2_Ind
WEO2020,CO2 emissions,Power,Mt,SPS,World,Oil,NA,647.51,648.225,536.739,449.442,374.577,World_El_CO2_Ind
WEO2020,CO2 emissions,Power,Mt,SPS,World,Natural gas,NA,3072.15,3136.4,3236.56,3318.14,3645.86,World_El_CO2_Ind
WEO2020,CO2 emissions,Power,Mt,SPS,World,Final consumption,Final consumption,17847.699,18010.5,18212.801,18634.5,18904.4,World_El_CO2_Ind
WEO2020,CO2 emissions,Power,Mt,SPS,World,Coal,NA,4326.08,4301.82,4117.04,3978.08,3701.54,World_El_CO2_Ind
WEO2020,CO2 emissions,Power,Mt,SPS,World,Oil,NA,10194.9,10273.2,10367.1,10672.1,10645.1,World_El_CO2_Ind
WEO2020,CO2 emissions,Power,Mt,SPS,World,Oil,Transport,7988.54,8032.68,8218.18,8556.65,8603.13,World_El_CO2_Ind
WEO2020,CO2 emissions,Power,Mt,SPS,World,Oil,International bunkers,1312.381,1316.387,1385.666,1517.964,1695.493,World_El_CO2_Ind
WEO2020,CO2 emissions,Power,Mt,SPS,World,Natural gas,NA,3326.68,3435.48,3728.64,3984.37,4557.8,World_El_CO2_Ind
WEO2020,CO2 emissions,Power,Mt,SPS,World,Industry,NA,NA,NA,NA,NA,NA,World_El_CO2_Ind
WEO2020,CO2 emissions,Power,Mt,SPS,World,Transport,NA,NA,NA,NA,NA,NA,World_El_CO2_Ind
WEO2020,CO2 emissions,Power,Mt,SPS,World,Buildings,NA,NA,NA,NA,NA,NA,World_El_CO2_Ind
WEO2020,NA,model_indicator,million,SPS,World,Population (million),NA,7589.54,7671.6201,8141.29,8504.6396,9154.3604,World_El_CO2_Ind
WEO2020,NA,model_indicator,share,SPS,World,Share of World population,NA,1,1,1,1,1,World_El_CO2_Ind
WEO2020,NA,model_indicator,billion USD,SPS,World,"GDP ($2019 billion, PPP)",NA,138099,141951,166713,195672,264334,World_El_CO2_Ind
WEO2020,NA,model_indicator,share,SPS,World,Share of World GDP,NA,1,1,1,1,1,World_El_CO2_Ind
WEO2020,NA,model_indicator,NA,SPS,World,"GDP per capita ($2019, PPP)",NA,18196,18503.4004,20477.5,23007.5996,28875.1992,World_El_CO2_Ind
WEO2020,NA,model_indicator,NA,SPS,World,"GDP ($2019 billion, MER)",NA,84560.7969,86683.2031,99263.5,113694,146870,World_El_CO2_Ind
WEO2020,NA,model_indicator,NA,SPS,World,"TPED/GDP (toe per $1000, PPP)",NA,0.1036,0.1015,0.0898,0.0805,0.0646,World_El_CO2_Ind
WEO2020,NA,model_indicator,NA,SPS,World,"TFC/GDP (toe per $1000, PPP)",NA,0.0721,0.0708,0.0637,0.0576,0.0466,World_El_CO2_Ind
WEO2020,NA,model_indicator,NA,SPS,World,TPED per capita (toe),NA,1.8842,1.8779,1.8383,1.8525,1.8663,World_El_CO2_Ind
WEO2020,Generation,Power,TWh,SDS,World,Total generation,Total generation,26619,26941.69922,28874.30078,31464.80078,38773.80078,World_El_CO2_Ind
WEO2020,Generation,Power,TWh,SDS,World,Coal,NA,10159.6,9849.3,7100.97,4864.34,1951.35,World_El_CO2_Ind
WEO2020,Generation,Power,TWh,SDS,World,Oil,NA,786.481,784.65,501.514,326.311,186.565,World_El_CO2_Ind
WEO2020,Generation,Power,TWh,SDS,World,Natural gas,NA,6150.2,6316.82,7007.47,6464.69,4549.66,World_El_CO2_Ind
WEO2020,Generation,Power,TWh,SDS,World,Nuclear,NA,2710.43,2788.97,2929.99,3435.33,4320.12,World_El_CO2_Ind
WEO2020,Generation,Power,TWh,SDS,World,Renewables,NA,6777.53,7167.24,11305,16344.8,27736.9,World_El_CO2_Ind
WEO2020,Generation,Power,TWh,SDS,World,Renewables,Hydro,4213.93,4304.5,4839.25,5521.39,6690.46,World_El_CO2_Ind
WEO2020,Generation,Power,TWh,SDS,World,Renewables,Bioenergy,634.556,667.08,991.147,1281.57,2155,World_El_CO2_Ind
WEO2020,Generation,Power,TWh,SDS,World,Renewables,Wind,1273.41,1422.84,2952.28,4770.42,8680.26,World_El_CO2_Ind
WEO2020,Generation,Power,TWh,SDS,World,Renewables,Geothermal,88.958,92.075,158.015,293.371,553.458,World_El_CO2_Ind
WEO2020,Generation,Power,TWh,SDS,World,Renewables,Solar PV,554.35,664.642,2316.23,4315.18,8799.22,World_El_CO2_Ind
WEO2020,Generation,Power,TWh,SDS,World,Renewables,CSP,11.321,14.952,44.206,148.8,788.084,World_El_CO2_Ind
WEO2020,Generation,Power,TWh,SDS,World,Renewables,Marine,1.005,1.146,3.908,14.059,70.373,World_El_CO2_Ind
WEO2020,Capacity,Power,GW,SDS,World,Total capacity,Total capacity,7228.16,7484.26,9458.65,11649.9,16549.5,World_El_CO2_Ind
WEO2020,Capacity,Power,GW,SDS,World,Coal,NA,2089.46,2124.02,1911.09,1603.14,1053.23,World_El_CO2_Ind
WEO2020,Capacity,Power,GW,SDS,World,Oil,NA,443.135,439.501,336.245,276.275,228.809,World_El_CO2_Ind
WEO2020,Capacity,Power,GW,SDS,World,Natural gas,NA,1750.86,1787.53,1951.06,2021.7,2121.48,World_El_CO2_Ind
WEO2020,Capacity,Power,GW,SDS,World,Nuclear,NA,419.828,414.613,430.498,488.329,599.373,World_El_CO2_Ind
WEO2020,Capacity,Power,GW,SDS,World,Renewables,NA,2516.45,2707.13,4744.76,7036.63,11763.7,World_El_CO2_Ind
WEO2020,Capacity,Power,GW,SDS,World,Renewables,Hydro,1293.64,1306.49,1499.3,1696.36,2028.54,World_El_CO2_Ind
WEO2020,Capacity,Power,GW,SDS,World,Renewables,Bioenergy,144.724,153.025,211.349,266.2,422.529,World_El_CO2_Ind
WEO2020,Capacity,Power,GW,SDS,World,Renewables,Wind,562.707,622.833,1216.24,1846.42,3058.13,World_El_CO2_Ind
WEO2020,Capacity,Power,GW,SDS,World,Renewables,Geothermal,14.238,15.151,25.017,45.343,82.085,World_El_CO2_Ind
WEO2020,Capacity,Power,GW,SDS,World,Renewables,Solar PV,494.932,602.82,1774.04,3124.71,5891.24,World_El_CO2_Ind
WEO2020,Capacity,Power,GW,SDS,World,Renewables,CSP,5.652,6.242,17.143,51.681,252.621,World_El_CO2_Ind
WEO2020,Capacity,Power,GW,SDS,World,Renewables,Marine,0.559,0.564,1.671,5.907,28.514,World_El_CO2_Ind
WEO2020,CO2 emissions,Power,Mt,SDS,World,Total CO2,Total CO2,33283.32,33291.4,29000.862,24260.622,14703.905,World_El_CO2_Ind
WEO2020,CO2 emissions,Power,Mt,SDS,World,Coal,NA,14765.801,14534.597,11036.691,7952.446,3335.732,World_El_CO2_Ind
WEO2020,CO2 emissions,Power,Mt,SDS,World,Oil,NA,11416.214,11497.188,10493.198,9433.496,6357.689,World_El_CO2_Ind
WEO2020,CO2 emissions,Power,Mt,SDS,World,Natural gas,NA,7101.305,7259.684,7473.031,6895.093,5210.921,World_El_CO2_Ind
WEO2020,CO2 emissions,Power,Mt,SDS,World,Power sector,Power sector,13823.4,13699.1,10656.4,7786.12,3184.78,World_El_CO2_Ind
WEO2020,CO2 emissions,Power,Mt,SDS,World,Coal,NA,10103.8,9914.45,7010.22,4630.19,1253.97,World_El_CO2_Ind
WEO2020,CO2 emissions,Power,Mt,SDS,World,Oil,NA,647.51,648.225,428.656,292.757,187.451,World_El_CO2_Ind
WEO2020,CO2 emissions,Power,Mt,SDS,World,Natural gas,NA,3072.15,3136.4,3217.56,2866.19,1860.88,World_El_CO2_Ind
WEO2020,CO2 emissions,Power,Mt,SDS,World,Final consumption,Final consumption,17847.699,18010.5,16721.6,15016.4,10446,World_El_CO2_Ind
WEO2020,CO2 emissions,Power,Mt,SDS,World,Coal,NA,4326.08,4301.82,3747.02,3083.98,1911.23,World_El_CO2_Ind
WEO2020,CO2 emissions,Power,Mt,SDS,World,Oil,NA,10194.9,10273.2,9549.21,8675.15,5878.14,World_El_CO2_Ind
WEO2020,CO2 emissions,Power,Mt,SDS,World,Oil,Transport,7988.54,8032.68,7578.1,6957.57,4697.49,World_El_CO2_Ind
